month,hs,label,country,import_usd,import_kg,usd_per_kg,cum_usd,cum_kg,collected
2025-02,0301921000,실장어(활어),CN,296952,27,10998.22,296952,27,2026-08-10
2025-02,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-02,0301929090,뱀장어(기타/기타),CN,1164459,89660,12.99,3340664,235467,2026-08-10
2025-02,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,954333,64510,14.79,2533955,180855,2026-08-10
2025-02,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,1689343,130317,12.96,3873214,295154,2026-08-10
2025-03,0301921000,실장어(활어),CN,4091742,442,9257.33,4388694,470,2026-08-10
2025-03,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-03,0301929090,뱀장어(기타/기타),CN,1099316,82471,13.33,4439980,317938,2026-08-10
2025-03,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,676377,54580,12.39,3210332,235435,2026-08-10
2025-03,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,2065021,160974,12.83,5938235,456128,2026-08-10
2025-04,0301921000,실장어(활어),CN,,,,4388694,470,2026-08-10
2025-04,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-04,0301929090,뱀장어(기타/기타),CN,1902506,150542,12.64,6342486,468480,2026-08-10
2025-04,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,12,1,12.00,12,1,2026-08-10
2025-04,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,943068,67544,13.96,4153400,302979,2026-08-10
2025-04,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,1978436,154627,12.79,7916671,610755,2026-08-10
2025-05,0301921000,실장어(활어),CN,,,,4388694,470,2026-08-10
2025-05,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-05,0301929090,뱀장어(기타/기타),CN,2080571,162186,12.83,8423057,630666,2026-08-10
2025-05,0303290000,기타(냉동/틸라피아ㆍ메기ㆍ잉어ㆍ뱀장어ㆍ나일 퍼치ㆍ가물치 외 기타),CN,21,2,10.50,33,3,2026-08-10
2025-05,0304690000,"틸라피아,메기,잉어,뱀장어,나일퍼치,가물치의 기타(필레(fillet)/신선ㆍ냉장ㆍ냉동)",CN,1344648,92905,14.47,5498048,395884,2026-08-10
2025-05,1604171000,뱀장어(조제/밀폐용기에 넣은 것),CN,5868,500,11.74,5868,500,2026-08-10
2025-05,1604179000,뱀장어(조제 또는 저장처리)(기타),CN,1760978,145965,12.06,9677649,756720,2026-08-10
2025-06,0301921000,실장어(활어),CN,,,,4388694,470,2026-08-10
2025-06,0301922000,새끼뱀장어,CN,,,,268031,680,2026-08-10
2025-06,0301929090,뱀장어(기타/기타),CN,1646290,130588,12.61,10069347,761254,2026-08-10
