month,item,import_kg,jpy_thousand,jpy_per_kg,collected
2024-08,조제장어,1276003,3270435,2563,2026-08-13
2024-08,활장어,731930,3085260,4215,2026-08-13
2024-09,조제장어,1069979,2626625,2455,2026-08-13
2024-09,활장어,476657,1961332,4115,2026-08-13
2024-10,조제장어,1270758,3175883,2499,2026-08-13
2024-10,활장어,452220,1848088,4087,2026-08-13
2024-11,조제장어,1024743,2714372,2649,2026-08-13
2024-11,활장어,426170,1727403,4053,2026-08-13
2024-12,조제장어,1190710,3114990,2616,2026-08-13
2024-12,활장어,635260,2573420,4051,2026-08-13
