name|country|booth|categories|phone|certs|exports_compact
A.H.Co|Viet Nam|-|KHAC|0984037855|-|-
AHFISHCO|Viet Nam|-|TUN|02563590075|BRC,BSCI,EUcode,FDAcod|US+1
AIS (Á CHÂU)|Viet Nam|-|EQP|0902410600|-|VN
Alaska Seafood Marketing Institute (ASMI)|Viet Nam|-|SEA|+84909527131|-|-
Allwin Roto Plast|India|-|EQP,KHAC|+919712930708|ISO|-
AMMEGA|Viet Nam|-|EQP,KHAC|0908460445|-|-
ANH KHOA SEAFOODS|Viet Nam|-|SHR|0946693952|ISO,HACCP|CN
ANH MINH SEAFOOD IMPORT EXPORT PROCESSING JOINT STOCK COMPANY|Viet Nam|-|OTH,SEA|02253758198|HACCP|KR,JP
ANMYFISHCO|Viet Nam|-|PAN,VAP|+2963721888|ASC,BRC,IFS,HALAL,GMP,|JP+12
ANPHACHEM CO LTD.|Viet Nam|-|VAP|0823626299|ISO|-
AquaChile|Chile|-|AQU,SEA|0965302597|ASC,BAP,IFS,HALAL,HACC|JP,CN,VN+5
Baixian Food (Fujian) Co.,Ltd|China|-|SEA,SQD|886-75368337|EUcode,HACCP,FDAcode|KR,JP,CN,US,VN+5
BAN VA TOI FOODS CORPORATION (BNT FOODS CORP.)|Viet Nam|-|PAN|02963957136|HACCP,BRC,EUcode,ISO,H|-
BEIFANG INPORT EXPORT TRADING COMPANNY LIMITED|-|-|KHAC|0961099966|-|-
Beihai Jiu Jia Jiu Food Co., Ltd|China|-|VAP|(86)-779-31333|BRC,EUcode,FDAcode,HAC|KR,JP,US,VN+6
Beijing Haida International Exhibition Co., Ltd|China|-|EQP,SEA,SQD,VAP|86-13621185375|-|-
Benchmark Genetics|Norway|-|-|+4796610116|-|-
BLUE OCEAN IMPORT & EXPORT LTD|Viet Nam|-|PAN,SEA|0908622309|HACCP|+4
BLUE SEA CO.,LTD|Viet Nam|-|PAN,SEA,SHR,SQD,VAP|0938286335|HACCP,FDAcode|KR,VN+3
BNA BACHE., SJSC|Viet Nam|-|SEA,SHR|0203.3888866|FDAcode,HACCP,HALAL,IS|CN,US+2
CAMIMEX CORP|Viet Nam|-|-|0822263677|ASC,BAP,BRC,BSCI,HACCP|KR+1
CASES|Viet Nam|-|SHR,SQD|0947937327|BAP,ASC,BRC,HACCP,HALA|KR+11
Chungdam|South Korea|-|SEA|+82-64-784-828|HALAL,ISO,HACCP|US+1
CKC|Viet Nam|-|EQP|02839622629|-|VN
CK FROZEN FOODS VN|Viet Nam|-|VAP|0934034703|HACCP,FDAcode|US+3
CL-FISH CORP.|Viet Nam|-|PAN|+842963932821|BAP,BRC,EUcode,ASC,FDA|CN+42
CLPANGAFISH CORP.|Viet Nam|-|PAN|(+84)277376495|BRC,ASC,EUcode,HALAL,H|CN+18
Confederation of Norwegian Enterprise (NHO)|-|-|-|+4741637603|-|-
CÔNG TY CỔ PHẦN CAMIMEX|Viet Nam|-|SHR,VAP|0983575363|ASC,BAP,BRC,BSCI,HALAL|KR,JP+4
CÔNG TY CỔ PHẦN CHÍ CÔNG|Viet Nam|-|EQP|0917990900|-|+3
CÔNG TY CỔ PHẦN CÔNG NGHỆ QCM|-|-|EQP|0983772533|-|-
Công ty cổ phần DeAir|-|-|EQP|0933628660|-|-
CÔNG TY CỔ PHẦN ENCO|Viet Nam|-|EQP|1900633514|ISO|+1
CÔNG TY CỔ PHẦN GET CULTURED FOODS VIỆT NAM|Viet Nam|-|KHAC|0979636497|ISO,HACCP|+2
CÔNG TY CỔ PHẦN HẠNH NGUYÊN LOGISTICS|Viet Nam|-|-|0939780777|-|-
CÔNG TY CỔ PHẦN TOH FISH|Viet Nam|-|-|0909832269|-|+2
CÔNG TY CỔ PHẦN VĨNH HOÀN|Viet Nam|-|PAN,VAP|+842773891166|BAP,ASC,BSCI,HALAL,Glo|CN,US+2
CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THỦY SẢN CẦN THƠ - CASEAMEX|Viet Nam|-|PAN|0939723523|ASC,BRC,HALAL,SA8000,H|-
Công ty CP Bao bì Quang Minh|-|-|KHAC|0933999072|-|-
CÔNG TY CP CƠ ĐIỆN LẠNH BKRE BÁCH KHOA|Viet Nam|-|KHAC|0854145858|-|-
CÔNG TY CP HÓA CHẤT PHÚ HƯNG THỊNH|Viet Nam|-|-|0386510950|-|-
Công ty CP Thành Trading|Viet Nam|-|EQP|0908218788|-|-
CÔNG TY LIÊN DOANH BỘT QUỐC TẾ|Viet Nam|-|KHAC|02837652059|BRC,FDAcode,HALAL,ISO|-
CÔNG TY TNHH BAO BÌ MODERN VIỆT NAM|Viet Nam|-|KHAC|0342788588|BRC,ISO|-
Công ty TNHH Bio Amipharm|Viet Nam|-|EQP|0386891099|-|-
CÔNG TY TNHH CÁCH ÂM CÁCH NHIỆT PHƯƠNG NAM|Viet Nam|-|EQP,OTH|0918442729|ISO|-
CÔNG TY TNHH CÁCH NHIỆT INSIDE|Viet Nam|-|EQP|0966666245|-|VN+2
CÔNG TY TNHH CHẾ TẠO BƠM TS|Viet Nam|-|EQP|1900966981|-|+8
CÔNG TY TNHH CÔNG NGHỆ TIỀM NĂNG (P TECH)|Viet Nam|-|PAN,SEA,SHR,SQD,TUN|02854115456|-|-
CÔNG TY TNHH ĐIỆN LẠNH MIỀN TÂY|Viet Nam|-|EQP|0977005600|-|-
CÔNG TY TNHH FISHY VIỆT NAM|Viet Nam|-|SEA,SQD,TUN|0905705798|-|JP,CN+2
CÔNG TY TNHH FOTESCO|Viet Nam|-|-|02822000158|-|-
CÔNG TY TNHH FOTESCO|Viet Nam|-|EQP|02822000158|-|VN
CÔNG TY TNHH HẢI VƯƠNG|Viet Nam|-|TUN|02583743333|BRC,BSCI,EUcode,FOS,FD|US+1
CÔNG TY TNHH HÀN VIỆT STAR|Viet Nam|-|EQP|0775108527|-|-
Công ty TNHH Hoa Khanh|Viet Nam|-|EQP|0777554920|-|-
Công Ty TNHH Hưng Thịnh Long Xuyên|Viet Nam|-|-|0944413070|-|US+10
CÔNG TY TNHH JO KITCHEN|Viet Nam|-|PAN,SEA,VAP|(+84)916374267|BAP,BRC,HACCP,SMETA,Gl|-
Công ty TNHH Kanematsu KGK Việt Nam|Viet Nam|-|EQP|0938885008|-|JP
CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ HỢP TIẾN|Viet Nam|-|EQP|0964027830|-|-
CÔNG TY TNHH KỸ THUẬT ĐO LƯỜNG TÂN QUỐC HƯNG|Viet Nam|-|EQP|02835357090|-|-
CÔNG TY TNHH MORINAGA MILK VIỆT NAM|Viet Nam|-|OTH|02871087770|HALAL|-
CÔNG TY TNHH MTV AJ TOTAL VIỆT NAM|Viet Nam|-|KHAC|0907111393|EUcode|-
Công ty TNHH MTV Công Nghệ Phú Lộc|Viet Nam|-|EQP|02838459555|-|-
Công ty TNHH MTV Công Nghệ Phú Lộc / Công ty TNHH Nhịp Sống Mớ|Viet Nam|-|-|02838459555|-|-
CÔNG TY TNHH MTV TM DV HOÀNG GIA LÂM|Viet Nam|-|EQP|0906579555|-|VN+4
Công ty TNHH quảng cáo dịch vụ thương mại Ký Thủy|Viet Nam|-|-|0843203273|-|-
CÔNG TY TNHH QUỐC HÙNG|Viet Nam|-|EQP|0914982244|-|-
CÔNG TY TNHH SẢN XUẤT THIẾT BỊ TRAO ĐỔI NHIỆT GIA THỊNH|Viet Nam|-|EQP|(028)37293692|ISO|-
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ KĨ THUẬT DUY PHÁT|Viet Nam|-|EQP|02835036782-09|ISO|VN
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XNK KIM LỢI LAI|Viet Nam|-|EQP|02837583848-02|-|CN+4
Công ty TNHH The Alaska Prime|-|-|SEA|0982413478|-|-
CÔNG TY TNHH THIẾT BỊ KHKT TRUNG HẢI|Viet Nam|-|AQU,EQP,OTH|0917.921.197/0|ISO|VN
CÔNG TY TNHH THIẾT BỊ KHKT TRUNG HẢI|Viet Nam|-|EQP|0707467735|-|-
CÔNG TY TNHH THIẾT BỊ THỰC PHẨM FM|Viet Nam|-|EQP|0988113119|-|-
Công ty TNHH Thương mại Kỹ thuật Đông Dương Vi Na|Viet Nam|-|EQP|02866748417|-|-
CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT THOẠI AN|Viet Nam|-|EQP|0819888947|-|-
CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT VIỆT Á|-|-|-|0919.369.299|-|-
Công Ty TNHH Thương Mại Phổ Bình|Viet Nam|-|OTH|02838609856|-|-
Công ty TNHH thủy sản lê Thành|Viet Nam|-|PAN,SEA,SHR|0888707788|-|CN
Công ty TNHH Thủy Sản Trang Thủy|Viet Nam|-|TUN|0903568268|BRC,ISO,SMETA,HALAL,FD|US+4
CÔNG TY TNHH TM DV MT-PRODUCTION|Viet Nam|-|-|0815750035|-|-
CÔNG TY TNHH TM – DV & SẢN XUẤT NGỌC BÌNH|Viet Nam|-|EQP|0903911987|-|VN
CÔNG TY TNHH VIỆT TRƯỜNG|Viet Nam|-|SEA|0936968268|BRC,EUcode,HALAL,HACCP|KR,JP,CN+7
Công ty TNHH xe nâng Tín Quang|Viet Nam|-|EQP|0989014219|-|-
CÔNG TY TNHH YANTAI MOON (VIỆT NAM)|Viet Nam|-|EQP|0902939862|-|-
CÔNG TY TNHH ZIIN ENGINEERING VIỆT NAM|Viet Nam|-|EQP|0986533869|-|VN
Control Union Viet Nam Co.,Ltd .|Viet Nam|-|OTH|+84912111043|-|-
Costacurta|-|-|EQP|+3902.66.20.20|-|-
DAEHO FISHERIES|South Korea|-|SEA|+821056751645|HACCP,ISO|JP,VN+1
DAI PHAT FOOD CO., LTD|Viet Nam|-|KHAC|0918679222|-|KR,JP+4
Dai Thuan Food|Viet Nam|-|KHAC|+84352999124|-|-
DAI THUAN FOOD|Viet Nam|-|-|842583839124|BRC,ISO,HACCP|-
DALIAN BINGSHAN GROUP|China|-|EQP|0086-411-87968|ISO|VN+7
DANYANG YIHE FOODS CO., LTD.|China|-|VAP|86-511-8687699|BRC,FDAcode,HACCP,HALA|+9
DEBAO (FUJIAN) INDUSTRIAL CO.,LTD|China|-|SEA,SQD|86-595-8868533|-|KR,JP,VN+7
DNV|Viet Nam|-|AQU,KHAC|+84(0)93864291|-|-
DONGGUAN GUANGLUN INDUSTRIES CO.,LTD|China|-|VAP|+8613825095659|-|VN+4
Donghyeon Kim|South Korea|-|-|+821041242827|-|-
DVK VN TRADING & INVESTMENT JSC|Viet Nam|-|SEA,SQD|0968000146|-|-
EMDEES MARINE PRODUCTS MYANMAR LTD|Myanmar|-|AQU,PAN,SEA,SHR|+959977123124|EUcode,HACCP|JP,US+17
EULSUNG AUTO PACK VIETNAM CO.,LTD|Viet Nam|-|EQP|0971025500|-|KR,JP+2
FATIFISH COMPANY LIMITED|Viet Nam|-|AQU,PAN,VAP|+842773882999/|-|-
Fisheries Cooperatives|South Korea|-|SEA|01071594429|-|JP
Fjell Technology Group AS|Norway|-|EQP|+4746908056|-|KR,JP,US,VN+36
Food Coatings International Limited (FCI)|Thailand|-|KHAC|0772401618/+66|BRC,HACCP,HALAL|KR,JP,US,VN+15
Foshan Luode Transmission Equipment Co., Ltd.|China|-|EQP|+86-757-810818|-|VN+2
FPT Food Việt Nam|Viet Nam|-|EQP|0962620998|-|+2
Frascold Viet Nam|Viet Nam|-|EQP|02854117375|-|KR+6
FRESH FISH CO., LTD|Viet Nam|-|EQP|0905223664|EUcode|-
FUJIAN GUANHANG FOOD CO.,LTD.|China|-|SQD|+86-1865937021|-|VN+4
FUJIAN HAISHAN BROTHERS FOOD CO., LTD.|China|-|SEA,SHR|+86-591-881131|BRC,FDAcode,HACCP,MSC|VN+2
FUJIAN HUANONG FOOD CO., LTD.|China|-|SEA|86-598-5855500|ASC,BRC,HACCP,HALAL,IS|KR,JP,US,VN+11
FUJIAN LANGUI FOOD CO.,LTD.|China|-|VAP|86-13600292737|FDAcode,HALAL,ISO|VN+3
FUJIAN XIANGBIN BIOTECHNOLOGY CO.,LTD|China|-|SEA|400-955-6668|ASC,BAP,HACCP,ISO,MSC|JP,US+1
Full Squid Industrial Chain Service Supplier|China|-|-|00861328786719|-|KR,JP,VN+3
Fuqing Haifeng Food Co., Ltd.|China|-|VAP|+86-591-853227|HALAL,IFS,KOSHER|JP,US+2
FUSO (THAILAND) CO., LTD.|Thailand|-|OTH|0901319211|HALAL,HACCP|CN,VN
FUZHOU JINXIANG FOOD MACHINERY EQUIPMENT TECHNOLOGY CO., LTD.|China|-|EQP|0086-591-83634|-|US+4
FUZHOU RIXING AQUATIC FOOD CO.,LTD.|China|-|SEA|86-591-8808917|BRC,EUcode,FDAcode,HAC|KR,JP,US,VN+7
GALLANT DACHAN SEAFOOD CO., LTD|Viet Nam|-|SHR|0974035271|BAP,HACCP,HALAL,IFS,BR|KR,US+3
GALLANT OCEAN (VIET NAM)., JSC|Taiwan, Provin|-|SEA,SHR,VAP|0905491119|ASC,BAP,BRC,FDAcode,HA|KR,JP,US+21
GenoMar Genetics VietNam|-|-|-|0932651188|-|-
GLOBAL SCIENTECH CO., LTD.|Viet Nam|-|AQU,EQP|0908090555|-|-
GODACO|Viet Nam|-|KHAC,PAN,SEA,VAP|(+84)273395322|ASC,BAP,BRC,BSCI,HALAL|KR,JP,CN,US+2
